old_path,filename,size,last_modified,frontmatter_title,frontmatter_version,frontmatter_type,diataxis_category,target_path,cross_refs
01-requirements/V9数据宪法.md,V9数据宪法.md,37722,2026-07-14T08:28:18.265619,,,,reference,docs/reference/V9数据宪法.md,../src/constants/ai-center.constants.ts; ../src/services/trading/tradeReviewAI.ts; ../02-design/data-layer/data-interaction-protocols.md; ../src/types/modules/ai-center.types.ts; ../src/services/scoring/rotationSignalDetector.ts; ../src/services/trading/tradeErrorClassifier.ts; ../src/core/dataflow/dataflowTypes.ts; ../src/core/envelope.ts; ../src/config/dbConfig.ts; ../src/core/memoryCache.ts; ./03-architecture-standards.md; ../src/config/dualStrategyRules.ts; docs/audit/V9现有数据资产清单.md; ../src/types/modules/tradeReview.types.ts; ../src/constants/health.constants.ts; ../02-design/DATA_DICTIONARY_INDEX.md
02-design/ai/ai-generate-audit-fix-loop.md,ai-generate-audit-fix-loop.md,4774,2026-07-13T22:53:54.801518,,,,explanation,docs/explanation/ai-generate-audit-fix-loop.md,
02-design/ai/ai-memory-layer.md,ai-memory-layer.md,2123,2026-07-14T08:28:18.265619,,,,explanation,docs/explanation/ai-memory-layer.md,
02-design/ai/mcp-coupling-analysis-report.md,mcp-coupling-analysis-report.md,25738,2026-07-13T22:53:54.802517,,,,explanation,docs/explanation/mcp-coupling-analysis-report.md,
02-design/architecture/2026-06-20-pure-frontend-architecture.md,2026-06-20-pure-frontend-architecture.md,1283,2026-07-14T08:28:18.265619,ADR-001: 纯前端无后端架构,v0.9.0,,explanation,docs/explanation/2026-06-20-pure-frontend-architecture.md,
02-design/architecture/architecture-version-comparison.md,architecture-version-comparison.md,12478,2026-07-14T08:28:18.271547,架构设计文档版本比对,v0.9.0,,explanation,docs/explanation/architecture-version-comparison.md,
02-design/architecture/cabins-overview.md,cabins-overview.md,4819,2026-07-13T22:53:54.806518,,,,explanation,docs/explanation/cabins-overview.md,
02-design/architecture/overview.md,overview.md,5203,2026-07-13T22:53:54.809516,,,,explanation,docs/explanation/overview.md,
02-design/architecture/services-catalog.md,services-catalog.md,4135,2026-07-13T22:53:54.809516,,,,reference,docs/reference/services-catalog.md,
02-design/architecture/v10-architecture-alignment.md,v10-architecture-alignment.md,13628,2026-07-14T08:28:18.274108,V10 架构白皮书与 V9 对齐报告,v0.9.0,,explanation,docs/explanation/v10-architecture-alignment.md,
02-design/architecture/v9-strategy-architecture.md,v9-strategy-architecture.md,48120,2026-07-13T22:53:54.812515,V9 策略架构文档,v0.9.8,,explanation,docs/explanation/v9-strategy-architecture.md,../01-requirements/03-architecture-standards.md; ../01-requirements/2026-06-24-adopt-v6-core-resource-trading-strategy.md
02-design/architecture/adr/2026-06-21-databridge-over-direct-datalayer.md,2026-06-21-databridge-over-direct-datalayer.md,1193,2026-07-14T08:28:18.265619,ADR-003: DataBridge 替代直接 dataLayer 写入,v0.9.0,,explanation,docs/explanation/2026-06-21-databridge-over-direct-datalayer.md,
02-design/architecture/adr/adr-001-pure-frontend-architecture.md,adr-001-pure-frontend-architecture.md,6119,2026-07-14T08:28:18.269016,ADR-001: 纯前端无后端架构,,,explanation,docs/explanation/adr-001-pure-frontend-architecture.md,
02-design/architecture/adr/adr-002-indexeddb-over-localstorage.md,adr-002-indexeddb-over-localstorage.md,5013,2026-07-13T22:53:54.803518,ADR-002: IndexedDB 替代 localStorage,,,reference,docs/reference/adr-002-indexeddb-over-localstorage.md,
02-design/architecture/adr/adr-003-databridge-over-direct-datalayer.md,adr-003-databridge-over-direct-datalayer.md,7700,2026-07-14T08:28:18.269016,ADR-003: DataBridge 替代直接 dataLayer 写入,,,reference,docs/reference/adr-003-databridge-over-direct-datalayer.md,
02-design/architecture/adr/adr-004-hashrouter-static-hosting.md,adr-004-hashrouter-static-hosting.md,4089,2026-07-13T22:53:54.803518,ADR-004: HashRouter 静态托管方案,,,explanation,docs/explanation/adr-004-hashrouter-static-hosting.md,
02-design/architecture/adr/adr-005-portalshell-dark-kimi-layout.md,adr-005-portalshell-dark-kimi-layout.md,4395,2026-07-14T08:28:18.269016,ADR-005: PortalShell 深色 Kimi 经典布局,,,explanation,docs/explanation/adr-005-portalshell-dark-kimi-layout.md,
02-design/architecture/adr/adr-006-input-cabin-subpages.md,adr-006-input-cabin-subpages.md,4276,2026-07-14T08:28:18.269016,ADR-006: 输入舱拆分为四子页面,,,reference,docs/reference/adr-006-input-cabin-subpages.md,
02-design/architecture/adr/adr-007-screening-signal-persistence-review.md,adr-007-screening-signal-persistence-review.md,4843,2026-07-14T08:28:18.269016,ADR-007: 补齐筛选引擎、信号持久化与复盘引擎,,,explanation,docs/explanation/adr-007-screening-signal-persistence-review.md,
